date,symbol,market_cap,free_float,shares_outstanding,avg_daily_traded_value
2026-08-30,SAIL,826105004032.0,1441724450.0,4130525289.0,6269121000.0
2026-08-30,YESBANK,693681324032.0,15283552764.0,31388295749.0,1080781737.1000001
2026-08-30,IBULHSGFIN,,,,
2026-08-30,L&TFH,,,,
2026-08-30,ASHOKLEY,1032447393792.0,3368126939.0,5873854552.0,2373258668.13
2026-08-30,IDEA,1590475751424.0,26804058200.0,108343035001.0,5651255856.44
2026-08-30,NIACL,307088326656.0,75494880.0,1648000000.0,234138632.42000002
2026-08-30,TATAMTRDVR,,,,
2026-08-30,VEDL,1124387782656.0,1616314581.0,3904801732.0,4068998989.8999996
2026-08-30,PAGEIND,401372151808.0,6365739.0,11153874.0,1452786420.0
2026-08-30,ZEEL,97502330880.0,926658670.0,960519420.0,2820079559.98
2026-08-30,NHPC,751569469440.0,3875659874.0,10045034805.0,508792759.67999995
2026-08-30,SRTRANSFIN,,,,
2026-08-30,OFSS,1061543346176.0,23868215.0,87083127.0,2472168570.0
2026-08-30,GICRE,619829526528.0,396500735.0,1754400000.0,285122285.8
2026-08-30,CONCOR,392994848768.0,340762239.0,761617935.0,624612324.0
2026-08-30,HINDZINC,2628148264960.0,479573707.0,4225319000.0,5261861870.0
2026-08-30,BANKBARODA,1250952478720.0,1853536119.0,5171362179.0,1686931740.6000001
2026-08-30,MOTHERSUMI,,,,
2026-08-30,PETRONET,438000025600.0,729059759.0,1500000088.0,754121536.0
2026-08-30,ABBOTINDIA,556200493056.0,5193117.0,21249302.0,204871725.0
2026-08-30,ALKEM,640270598144.0,46141329.0,119565000.0,854893620.0
2026-08-30,IGL,206654226432.0,628462490.0,1400001600.0,437559289.73
2026-08-30,AUROPHARMA,946669289472.0,275956275.0,575377895.0,1260642022.3999999
2026-08-30,HINDPETRO,774527385600.0,957320902.0,2127822517.0,1401449504.0
2026-08-30,PEL,,,,
2026-08-30,NMDC,762778091520.0,3443469555.0,8791817550.0,1879181603.64
2026-08-30,JUBLFOOD,322556493824.0,388626472.0,657674557.0,1342234133.0
2026-08-30,LUPIN,992952778752.0,241802032.0,457265861.0,1535528452.0
2026-08-30,ZYDUSLIFE,1188027039744.0,242884761.0,997503832.0,1592370573.0
2026-08-30,PAYTM,1058446704640.0,524162790.0,641133110.0,7377177071.1
2026-08-30,BIOCON,669391585280.0,801818101.0,1628293737.0,1010124909.7
2026-08-30,GLAND,476423716864.0,79466966.0,164966661.0,1115027920.0
2026-08-30,BANDHANBNK,271069511680.0,1006321602.0,1611111580.0,957985383.25
2026-08-30,HDFC,,,,
2026-08-30,INDUSTOWER,1002136928256.0,1283289129.0,2637202542.0,1582689740.0
2026-08-30,HDFCAMC,1101614284800.0,202804646.0,428810534.0,2569000000.0
2026-08-30,NYKAA,961667399680.0,1212719947.0,2865089837.0,1353063888.75
2026-08-30,ACC,245325283328.0,71115036.0,187787263.0,139523520.0
2026-08-30,AWL,253545037824.0,442661010.0,1291817635.0,909486917.12
2026-08-30,UPL,482657239040.0,557607601.0,844169318.0,1093943498.0
2026-08-30,PIIND,367144042496.0,80895783.0,151706138.0,503555047.2
2026-08-30,MUTHOOTFIN,1240939102208.0,106988473.0,401468476.0,3622463449.0
2026-08-30,PGHH,262672269312.0,9429999.0,32460736.0,80110800.0
2026-08-30,BERGEPAINT,576413499392.0,115142778.0,1166002812.0,181443257.9
2026-08-30,MARICO,1075372883968.0,551726279.0,1296176456.0,875161280.4
