date,symbol,dividend,split
2026-02-18,BHARATFORG,2.0,0.0
2026-07-03,BHARATFORG,6.5,0.0
2003-05-23,CASTROLIND,1.5625,0.0
2003-08-04,CASTROLIND,0.5,0.0
2004-04-13,CASTROLIND,0.53125,0.0
2004-08-02,CASTROLIND,0.5,0.0
2005-03-24,CASTROLIND,0.53125,0.0
2005-07-22,CASTROLIND,0.5,0.0
2006-03-31,CASTROLIND,0.53125,0.0
2006-07-27,CASTROLIND,0.5,0.0
2007-04-05,CASTROLIND,0.625,0.0
2007-08-07,CASTROLIND,0.5625,0.0
2008-04-07,CASTROLIND,1.1875,0.0
2008-08-08,CASTROLIND,0.75,0.0
2009-04-06,CASTROLIND,1.125,0.0
2009-07-31,CASTROLIND,1.25,0.0
2010-02-22,CASTROLIND,1.875,0.0
2010-04-09,CASTROLIND,0.0,2.0
2010-07-20,CASTROLIND,1.75,0.0
2011-06-13,CASTROLIND,2.0,0.0
2011-08-22,CASTROLIND,1.75,0.0
2012-03-30,CASTROLIND,2.0,0.0
2012-07-20,CASTROLIND,1.75,0.0
2012-09-04,CASTROLIND,0.0,2.0
2013-04-12,CASTROLIND,1.75,0.0
2013-08-06,CASTROLIND,1.75,0.0
2014-05-02,CASTROLIND,1.75,0.0
2014-08-04,CASTROLIND,1.75,0.0
2015-05-06,CASTROLIND,2.0,0.0
2015-08-06,CASTROLIND,2.0,0.0
2016-04-27,CASTROLIND,2.5,0.0
2016-08-05,CASTROLIND,2.25,0.0
2017-03-07,CASTROLIND,1.0,0.0
2017-05-22,CASTROLIND,2.25,0.0
2017-09-05,CASTROLIND,2.25,0.0
2017-12-21,CASTROLIND,0.0,2.0
2018-04-25,CASTROLIND,2.5,0.0
2018-08-09,CASTROLIND,2.25,0.0
2019-05-09,CASTROLIND,2.75,0.0
2019-08-08,CASTROLIND,2.5,0.0
2020-06-26,CASTROLIND,3.0,0.0
2020-11-05,CASTROLIND,2.5,0.0
2021-04-22,CASTROLIND,3.0,0.0
2021-08-11,CASTROLIND,2.5,0.0
2022-06-02,CASTROLIND,3.0,0.0
2022-08-08,CASTROLIND,3.0,0.0
2023-05-04,CASTROLIND,3.5,0.0
2023-08-08,CASTROLIND,3.0,0.0
2024-03-21,CASTROLIND,4.5,0.0
2024-08-07,CASTROLIND,3.5,0.0
2025-03-18,CASTROLIND,9.5,0.0
2025-08-11,CASTROLIND,3.5,0.0
2026-03-23,CASTROLIND,5.25,0.0
2026-08-11,CASTROLIND,6.25,0.0
2002-07-16,GRASIM,1.792871,0.0
2003-07-14,GRASIM,1.992079,0.0
