symbol,company_name
COHANCE,Cohance Lifesciences Ltd.
CAMS,Computer Age Management Services Ltd.
CONCORDBIO,Concord Biotech Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
CREDITACC,CreditAccess Grameen Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CYIENT,Cyient Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DOMS,DOMS Industries Ltd.
DATAPATTNS,Data Patterns (India) Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Deepak Nitrite Ltd.
DELHIVERY,Delhivery Ltd.
DEVYANI,Devyani International Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
EIDPARRY,E.I.D. Parry (India) Ltd.
EIHOTEL,EIH Ltd.
ELECON,Elecon Engineering Co. Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
EMAMILTD,Emami Ltd.
EMCURE,Emcure Pharmaceuticals Ltd.
EMMVEE,Emmvee Photovoltaic Power Ltd.
ENGINERSIN,Engineers India Ltd.
ERIS,Eris Lifesciences Ltd.
FACT,Fertilisers and Chemicals Travancore Ltd.
FINCABLES,Finolex Cables Ltd.
FSL,Firstsource Solutions Ltd.
FIVESTAR,Five-Star Business Finance Ltd.
FORCEMOT,Force Motors Ltd.
GABRIEL,Gabriel India Ltd.
GALLANTT,Gallantt Ispat Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.
GILLETTE,Gillette India Ltd.
GLAND,Gland Pharma Ltd.
GODIGIT,Go Digit General Insurance Ltd.
GPIL,Godawari Power & Ispat Ltd.
GRANULES,Granules India Ltd.
GRAPHITE,Graphite India Ltd.
GRAVITA,Gravita India Ltd.
GESHIP,Great Eastern Shipping Co. Ltd.
GMDCLTD,Gujarat Mineral Development Corporation Ltd.
GSPL,Gujarat State Petronet Ltd.
HEG,H.E.G. Ltd.
HBLENGINE,HBL Engineering Ltd.
HFCL,HFCL Ltd.
HSCL,Himadri Speciality Chemical Ltd.
HINDCOPPER,Hindustan Copper Ltd.
HOMEFIRST,Home First Finance Company India Ltd.
HONASA,Honasa Consumer Ltd.
IDBI,IDBI Bank Ltd.
IFCI,IFCI Ltd.
IIFL,IIFL Finance Ltd.
IRB,IRB Infrastructure Developers Ltd.
IRCON,IRCON International Ltd.
ITI,ITI Ltd.
INDGN,Indegene Ltd.
INDIACEM,India Cements Ltd.
INDIAMART,Indiamart Intermesh Ltd.
IEX,Indian Energy Exchange Ltd.
IOB,Indian Overseas Bank
IGL,Indraprastha Gas Ltd.
INOXWIND,Inox Wind Ltd.
INTELLECT,Intellect Design Arena Ltd.
IGIL,International Gemological Institute Ltd.
IKS,Inventurus Knowledge Solutions Ltd.
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.
JBMA,JBM Auto Ltd.
JKTYRE,JK Tyre & Industries Ltd.
JMFINANCIL,JM Financial Ltd.
JSWCEMENT,JSW Cement Ltd.
JSWDULUX,JSW Dulux Ltd.
JAINREC,Jain Resource Recycling Ltd.
JPPOWER,Jaiprakash Power Ventures Ltd.
J&KBANK,Jammu & Kashmir Bank Ltd.
JINDALSAW,Jindal Saw Ltd.
JUBLINGREA,Jubilant Ingrevia Ltd.
JUBLPHARMA,Jubilant Pharmova Ltd.
JWL,Jupiter Wagons Ltd.
JYOTICNC,Jyoti CNC Automation Ltd.
KAJARIACER,Kajaria Ceramics Ltd.
KPIL,Kalpataru Projects International Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
KAYNES,Kaynes Technology India Ltd.
KEC,Kec International Ltd.
KFINTECH,Kfin Technologies Ltd.
KIRLOSENG,Kirloskar Oil Eng Ltd.
KIMS,Krishna Institute of Medical Sciences Ltd.
LTFOODS,LT Foods Ltd.
LATENTVIEW,Latent View Analytics Ltd.
THELEELA,Leela Palaces Hotels & Resorts Ltd.
LEMONTREE,Lemon Tree Hotels Ltd.
MMTC,MMTC Ltd.
MGL,Mahanagar Gas Ltd.
MANAPPURAM,Manappuram Finance Ltd.
MRPL,Mangalore Refinery & Petrochemicals Ltd.
MEESHO,Meesho Ltd.
MINDACORP,Minda Corporation Ltd.
MSUMI,Motherson Sumi Wiring India Ltd.
NATCOPHARM,NATCO Pharma Ltd.
NBCC,NBCC (India) Ltd.
NCC,NCC Ltd.
NSLNISP,NMDC Steel Ltd.
NH,Narayana Hrudayalaya Ltd.
NAVA,Nava Ltd.
NAVINFLUOR,Navin Fluorine International Ltd.
NETWEB,Netweb Technologies India Ltd.
NEULANDLAB,Neuland Laboratories Ltd.
NEWGEN,Newgen Software Technologies Ltd.
NIVABUPA,Niva Bupa Health Insurance Company Ltd.
NUVAMA,Nuvama Wealth Management Ltd.
NUVOCO,Nuvoco Vistas Corporation Ltd.
OLAELEC,Ola Electric Mobility Ltd.
OLECTRA,Olectra Greentech Ltd.
ONESOURCE,Onesource Specialty Pharma Ltd.
PCBL,PCBL Chemical Ltd.
PGEL,PG Electroplast Ltd.
PNBHOUSING,PNB Housing Finance Ltd.
PTCIL,PTC Industries Ltd.
PVRINOX,PVR INOX Ltd.
PARADEEP,Paradeep Phosphates Ltd.
PFIZER,Pfizer Ltd.
PWL,Physicswallah Ltd.
PINELABS,Pine Labs Ltd.
PIRAMALFIN,Piramal Finance Ltd.
PPLPHARMA,Piramal Pharma Ltd.
POLYMED,Poly Medicure Ltd.
POONAWALLA,Poonawalla Fincorp Ltd.
RRKABEL,R R Kabel Ltd.
RBLBANK,RBL Bank Ltd.
RHIM,RHI MAGNESITA INDIA LTD.
RITES,RITES Ltd.
RAILTEL,Railtel Corporation Of India Ltd.
RAINBOW,Rainbow Childrens Medicare Ltd.
RKFORGE,Ramkrishna Forgings Ltd.
REDINGTON,Redington Ltd.
RPOWER,Reliance Power Ltd.
SBFC,SBFC Finance Ltd.
SAGILITY,Sagility Ltd.
SAILIFE,Sai Life Sciences Ltd.
SAMMAANCAP,Sammaan Capital Ltd.
SAPPHIRE,Sapphire Foods India Ltd.
SARDAEN,Sarda Energy and Minerals Ltd.
SAREGAMA,Saregama India Ltd
SCHNEIDER,Schneider Electric Infrastructure Ltd.
SCI,Shipping Corporation of India Ltd.
SHYAMMETL,Shyam Metalics and Energy Ltd.
SIGNATURE,Signatureglobal (India) Ltd.
SOBHA,Sobha Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
SONATSOFTW,Sonata Software Ltd.
STARHEALTH,Star Health and Allied Insurance Company Ltd.
SUMICHEM,Sumitomo Chemical India Ltd.
SUNTV,Sun TV Network Ltd.
SPLPETRO,Supreme Petrochem Ltd.
SWANCORP,Swan Corp Ltd.
SYNGENE,Syngene International Ltd.
SYRMA,Syrma SGS Technology Ltd.
TBOTEK,TBO Tek Ltd.
TATACHEM,Tata Chemicals Ltd.
TATATECH,Tata Technologies Ltd.
TTML,Tata Teleservices (Maharashtra) Ltd.
TECHNOE,Techno Electric & Engineering Company Ltd.
TEGA,Tega Industries Ltd.
TEJASNET,Tejas Networks Ltd.
TENNIND,Tenneco Clean Air India Ltd.
RAMCOCEM,The Ramco Cements Ltd.
TIMKEN,Timken India Ltd.
TITAGARH,Titagarh Rail Systems Ltd.
TARIL,Transformers And Rectifiers (India) Ltd.
TRAVELFOOD,Travel Food Services Ltd.
TRIDENT,Trident Ltd.
TRITURBINE,Triveni Turbine Ltd.
UCOBANK,UCO Bank
UTIAMC,UTI Asset Management Company Ltd.
URBANCO,Urban Company Ltd.
USHAMART,Usha Martin Ltd.
VTL,Vardhman Textiles Ltd.
VIJAYA,Vijaya Diagnostic Centre Ltd.
WELCORP,Welspun Corp Ltd.
WELSPUNLIV,Welspun Living Ltd.
WHIRLPOOL,Whirlpool of India Ltd.
WOCKPHARMA,Wockhardt Ltd.
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.
ZEEL,Zee Entertainment Enterprises Ltd.
ZENTEC,Zen Technologies Ltd.
ZENSARTECH,Zensar Technolgies Ltd.
ZYDUSWELL,Zydus Wellness Ltd.
ECLERX,eClerx Services Ltd.
