date,dd
2013-12-04,-0.01716597351127047
2013-12-05,-0.017348158368033273
2013-12-06,-0.01255277664772958
2013-12-09,-0.009610623174716504
2013-12-10,-0.015305980090594917
2013-12-11,-0.017193449374013126
2013-12-12,-0.02069462056334226
2013-12-13,-0.033188461793965285
2013-12-16,-0.03020378126952228
2013-12-17,-0.029518548822493162
2013-12-18,-0.016693471340548993
2013-12-19,-0.015892189831225867
2013-12-20,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,-0.021512391773281903
2014-01-03,-0.013315329446408564
2014-01-06,-0.00391450206333166
2014-01-07,-0.003153858065380599
2014-01-08,0.0
2014-01-09,-0.00985725268584603
2014-01-10,-0.01802948339478927
2014-01-13,-0.015185651967931424
2014-01-14,-0.015542856425765805
2014-01-15,-0.012762988342103765
2014-01-16,-0.016033913230519503
2014-01-17,-0.03249391419418568
2014-01-20,-0.024813205784516734
2014-01-21,-0.020391989617557615
2014-01-22,-0.015219126476764933
2014-01-23,-0.01813718841623546
2014-01-24,-0.03545911550212333
2014-01-27,-0.06433644910013259
2014-01-28,-0.061290309204131144
2014-01-29,-0.06149500010277209
2014-01-30,-0.07648050151899577
2014-01-31,-0.06272485202978517
2014-02-03,-0.06944077686535655
2014-02-04,-0.06564720618702047
2014-02-05,-0.05755557113845711
2014-02-06,-0.057012741994466265
2014-02-07,-0.0510037566254643
2014-02-10,-0.0508655169656661
2014-02-11,-0.05126588526445808
2014-02-12,-0.05211811463518212
2014-02-13,-0.06463101417780626
2014-02-14,-0.06448135843196023
2014-02-17,-0.06516988401580148
2014-02-18,-0.056787716072616234
2014-02-19,-0.05007157219531888
2014-02-20,-0.05160682541516515
2014-02-21,-0.04341897461220945
2014-02-24,-0.04061932057767004
2014-02-25,-0.03881027858942698
2014-02-26,-0.036300100182865
2014-02-28,-0.031159653166173307
2014-03-03,-0.03386984410389793
2014-03-04,-0.019839391000935125
2014-03-05,-0.012377200410933265
2014-03-06,0.0
2014-03-07,0.0
2014-03-10,0.0
2014-03-11,-0.0002704835928163396
2014-03-12,0.0
2014-03-13,-0.0032834836206118156
2014-03-14,-0.006847878267188023
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,-0.002140779747687116
2014-03-21,0.0
2014-03-22,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,-0.005534739934257016
2014-04-04,0.0
2014-04-07,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-15,-0.006368514579381368
2014-04-16,-0.020857484166922458
2014-04-17,-0.0036142545869072285
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-25,-0.0046382221136225255
2014-04-28,-0.0009775981306190396
2014-04-29,-0.0013607905691457312
2014-04-30,-0.018385639545221988
2014-05-02,-0.014063222753557092
2014-05-05,-0.01704687743097999
2014-05-06,-0.012933057579368357
2014-05-07,-0.016191506033777614
2014-05-08,-0.015814792765288854
2014-05-09,-0.0034406368868034054
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,-0.01118666600167173
2014-05-16,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-26,-0.028513283914322174
2014-05-27,-0.034027308617472496
2014-05-28,-0.022336481068327085
2014-05-29,-0.028448827459459314
2014-05-30,-0.020888169411201973
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,-0.00971155077276209
2014-06-12,-0.006473218592763175
2014-06-13,-0.035604264930141016
2014-06-16,-0.03001757719871756
2014-06-17,-0.010434992132890897
2014-06-18,-0.014374414855514273
2014-06-19,-0.016687646304209713
2014-06-20,-0.021108986615310354
2014-06-23,-0.014934823919822038
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,-0.0029110046671784184
2014-06-27,0.0
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
