date,equity
2017-01-31,2.383702256284879
2017-02-01,2.4218963879725135
2017-02-02,2.440394312056376
2017-02-03,2.4676900352846216
2017-02-06,2.4955913287090357
2017-02-07,2.492319514815787
2017-02-08,2.505839509041955
2017-02-09,2.5142779130877626
2017-02-10,2.5092106004219517
2017-02-13,2.4923514843415946
2017-02-14,2.4785874506897856
2017-02-15,2.4294904641979
2017-02-16,2.4618992147560705
2017-02-17,2.473906592292451
2017-02-20,2.4994533593971995
2017-02-21,2.5133645746869666
2017-02-22,2.501274203312708
2017-02-23,2.5040226941091204
2017-02-27,2.5073746354984126
2017-02-28,2.524491693137035
2017-03-01,2.5458482506304816
2017-03-02,2.511088906163732
2017-03-03,2.519730619544415
2017-03-06,2.5326614701134034
2017-03-07,2.53123182802007
2017-03-08,2.5191031027798974
2017-03-09,2.5137677348707412
2017-03-10,2.509269275532075
2017-03-14,2.541481819822689
2017-03-15,2.562316754411837
2017-03-16,2.5958151489252383
2017-03-17,2.5964576741381378
2017-03-20,2.6038426692356613
2017-03-21,2.5976121723960293
2017-03-22,2.5788074198061235
2017-03-23,2.602789000989291
2017-03-24,2.611300881051857
2017-03-27,2.605535600201038
2017-03-28,2.6233356744694922
2017-03-29,2.6272145401333398
2017-03-30,2.648161704445248
2017-03-31,2.6681643557644654
2017-04-03,2.709125505606552
2017-04-05,2.754236531645808
2017-04-06,2.753698590815236
2017-04-07,2.7339909552772648
2017-04-10,2.752150932622478
2017-04-11,2.776978138464409
2017-04-12,2.7609621701712985
2017-04-13,2.7650633532179603
2017-04-17,2.7805802427726993
2017-04-18,2.7538098189486697
2017-04-19,2.7749437145738667
2017-04-20,2.811006416873889
2017-04-21,2.8231783655940252
2017-04-24,2.848853716849265
2017-04-25,2.8646095415977477
2017-04-26,2.838018682850611
2017-04-27,2.839606808856396
2017-04-28,2.8550576261941987
2017-05-02,2.8599463573368626
2017-05-03,2.862381724452849
2017-05-04,2.8721362653101807
2017-05-05,2.83208563862865
2017-05-08,2.8557303307170927
2017-05-09,2.876405543853429
2017-05-10,2.9020973549608056
2017-05-11,2.898590289100842
2017-05-12,2.8751907978102773
2017-05-15,2.897879048711906
2017-05-16,2.9095318404639525
2017-05-17,2.9098149290686406
2017-05-18,2.8497907101181665
2017-05-19,2.829411242220439
2017-05-22,2.7966744269889845
2017-05-23,2.7317930070374596
2017-05-24,2.6820104988311386
